RCDTS,Type,School_Name.x,District,City.x,County,District_Type,District_Size,School_Type.x,Grades_Served,Summative_Designation,State_Senate_District,State_Representative_District,Student_Enrollment_Total,Student_Enrollment_Low_Income_PC,Student_Enrollment_Homeless_PC,Total_Number_of_School_Days,Student_Attendance_Rate,Student_Attendance_Rate_Male,Student_Attendance_Rate_Female,Student_Chronic_Truancy_Rate,High_School_Dropout_Rate_Total,High_School_Dropout_Rate_Low_Income,High_School_4_Year_Graduation_Rate_Total,High_School_4_Year_Graduation_Rate_Low_Income,High_School_5_Year_Graduation_Rate_Total,High_School_5_Year_Graduation_Rate_Low_Income,High_School_6_Year_Graduation_Rate_Total,High_School_6_Year_Graduation_Rate_Low_Income,Avg_Class_Size_High_School,Avg_Class_Size_All_Grades,Avg_Number_of_days_of_Physical_Education_Per_Week_Per_Student,Teacher_Retention_Rate,Principal_Turnover_within_6_Years,Chronic_Absenteeism,Chronic_Absenteeism_Low_Income,School_Name.y,City.y,ELA_Proficiency_Total_PC,ELA_Proficiency_Low_Income_PC,Math_Proficiency_Total_PC,Math_Proficiency_Low_Income_PC,ELA_Participation_Total_Student_PC,ELA_Participation_Total_Low_Income_PC,ELA_Proficiency_Male_PC,ELA_Proficiency_Female_PC,Math_Proficiency_Male_PC,Math_Proficiency_Female_PC,Math_Participation_Total_Student_PC,Math_Participation_Low_Income_PC,School_ID,Short_Name,Long_Name,School_Type.y,Primary_Category,Student_Growth_Rating,Student_Attainment_Rating,Culture_Climate_Rating,School_Survey_Student_Response_Rate_Pct,School_Survey_Student_Response_Rate_Avg_Pct,School_Survey_Teacher_Response_Rate_Pct,School_Survey_Teacher_Response_Rate_Avg_Pct,School_Survey_Parent_Response_Rate_Pct,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Suspensions_Per_100_Students_Year_1_Pct,Suspensions_Per_100_Students_Year_2_Pct,Suspensions_Per_100_Students_Avg_Pct,Misconducts_To_Suspensions_Year_1_Pct,Misconducts_To_Suspensions_Year_2_Pct,Misconducts_To_Suspensions_Avg_Pct,Average_Length_Suspension_Year_1_Pct,Average_Length_Suspension_Year_2_Pct,Average_Length_Suspension_Avg_Pct,Student_Attendance_Year_1_Pct,Student_Attendance_Year_2_Pct,Student_Attendance_Avg_Pct,Teacher_Attendance_Year_1_Pct,Teacher_Attendance_Year_2_Pct,Teacher_Attendance_Avg_Pct,One_Year_Dropout_Rate_Year_1_Pct,One_Year_Dropout_Rate_Year_2_Pct,One_Year_Dropout_Rate_Avg_Pct,Freshmen_On_Track_School_Pct_Year_2,Freshmen_On_Track_CPS_Pct_Year_2,Freshmen_On_Track_School_Pct_Year_1,Freshmen_On_Track_CPS_Pct_Year_1,Graduation_4_Year_School_Pct_Year_2,Graduation_4_Year_CPS_Pct_Year_2,Graduation_4_Year_School_Pct_Year_1,Graduation_4_Year_CPS_Pct_Year_1,Graduation_5_Year_School_Pct_Year_2,Graduation_5_Year_CPS_Pct_Year_2,Graduation_5_Year_School_Pct_Year_1,Graduation_5_Year_CPS_Pct_Year_1,PSAT_9_Average,PSAT_10_Average,SAT_School_Average,SAT_District_Average,PSAT_9_Growth_Pct,PSAT_10_Growth_Pct,SAT_Growth_Pct,PSAT_9_Attainment_Pct,PSAT_10_Attainment_Pct,SAT_Attainment_Pct,College_Enrollment_School_Pct_Year_2,College_Enrollment_CPS_Pct_Year_2,College_Enrollment_School_Pct_Year_1,College_Enrollment_CPS_Pct_Year_1,College_Persistence_School_Pct_Year_2,College_Persistence_CPS_Pct_Year_2,College_Persistence_School_Pct_Year_1,College_Persistence_CPS_Pct_Year_1,Mobility_Rate_Pct,Chronic_Truancy_Pct,SCHOOL,BUDGET_1819,INCREASE,BUDGET_1718,IS_CHARTER,Expenditure_Per_Pupil_1718
1.50163E+14,School,Amundsen High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 10 11 12,Commendable,7,13,1227,83.4,NA,178,91.4,91.6,91.3,44.4,0.7,0.7,88.9,88.1,88.9,89.1,87.3,87,23,23,5,91,1,33,34.9,Amundsen High School,Chicago,33.2,31,32.9,31.9,99.7,100,35.9,30.6,37.9,27.8,99.7,100,609695,AMUNDSEN HS,Roald Amundsen High School,Neighborhood,HS,4,3,5,94.5,82.2,96.1,80.9,41,4,4,5,4,4,NEUTRAL,6.4,7.8,5.8,22.5,17.2,16.3,1.8 days,1.5 days,2.0 days,91.8,91.3,92.8,91.5,90.8,90.1,3.9,1.3,7.1,90,88.7,94.4,87.4,80.6,74.7,71.8,73.5,76,77.5,82.8,73.5,876,924,942,968,88,74,56,55.3,54.5,32,64,59.8,54.4,57.9,74.2,71.9,72,71.6,7.7,35.4,AMUNDSEN HS,"$10,860,365 ",6.82,"$10,166,977 ",0,8286.044825
1.50163E+14,School,Bogan High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 10 11 12,Lowest Performing,16,32,778,92.4,2.7,178,87.7,87.8,87.5,65.2,2.1,2.1,86.8,86.4,89.4,89.8,88.4,89.9,20,20,0,79.7,1,51.8,53.5,Bogan High School,Chicago,4.7,3.3,3.1,3.3,92.1,91.5,3.5,6.3,3.5,2.5,92.1,91.5,609698,BOGAN HS,William J Bogan High School,Neighborhood,HS,2,1,4,93.6,82.2,88.1,80.9,39,4,3,4,3,3,WEAK,12.2,13.4,5.8,18.8,19.6,16.3,3.1 days,2.7 days,2.0 days,89.2,87.5,92.8,89.6,89.8,90.1,3.1,2,7.1,97.2,88.7,92.9,87.4,66.9,74.7,67.5,73.5,71.4,77.5,75.7,73.5,742,806,826,968,8,15,13,15.6,16.4,7.9,47.7,59.8,54.6,57.9,52.9,71.9,57.1,71.6,17.5,54.3,BOGAN HS,"$7,540,895 ",-0.18,"$7,554,493 ",0,9710.145244
1.50163E+14,School,Carver Military Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 10 11 12,Commendable,17,34,479,93.5,2.9,178,91.8,92.2,91.4,54.9,0.6,0.7,97.3,97.1,93.9,93.1,95.7,95.5,20,20,1,91,1,27.2,28.7,Carver Military Academy HS,Chicago,17.2,16.3,11.1,10.9,98,97.9,19.6,14,12.5,9.3,98,97.9,609845,CARVER G,George Washington Carver Primary School,Neighborhood,ES,1,2,1,87.8,82.2,50,80.9,< 30%,2,2,3,2,3,VERY WEAK,8.6,20.1,5.8,28.5,23.5,16.3,1.8 days,2.0 days,2.0 days,94,91.2,92.8,90,89.6,90.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.5,NA,NA,NA,73.5,NA,NA,NA,968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7,44.4,CARVER G,"$3,357,796 ",0.51,"$3,340,758 ",0,6974.442589
1.50163E+14,School,Farragut Career Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,PK 9 10 11 12,Lowest Performing,11,21,728,99.5,1.6,178,86.5,86.8,86.1,50.1,2.9,2.8,74.1,74.5,85.9,86.7,81.2,81.4,18,18,5,81.1,3,54.1,54,Farragut Career Academy HS,Chicago,5.6,5.6,8.4,8.5,99.4,99.4,4.3,7.1,12.9,3.5,99.4,99.4,609704,FARRAGUT HS,David G Farragut Career Academy High School,Neighborhood,HS,3,1,5,97.3,82.2,97.3,80.9,< 30%,4,3,4,3,4,WEAK,23.6,16.1,5.8,11.8,34.3,16.3,2.0 days,2.9 days,2.0 days,87.5,85.8,92.8,89.3,88.9,90.1,5.9,3.8,7.1,83.7,88.7,85.1,87.4,68.8,74.7,56.6,73.5,62.6,77.5,65.3,73.5,770,825,865,968,50,52,60,21.1,18.1,12.7,39.8,59.8,37.8,57.9,54.8,71.9,68.8,71.6,17,38,FARRAGUT HS,"$7,496,681 ",2.8,"$7,292,491 ",0,10017.15797
1.50163E+14,School,Fenger Academy High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 10 11 12,Lowest Performing,14,28,244,97.5,57.8,178,87,87.1,86.9,82.3,0,0,73.7,73.2,86.4,85.7,87,87,24,24,5,78.7,2,73,74.1,Fenger Academy High School,Chicago,5.2,5.3,1.7,1.8,100,100,13,0,4.3,0,100,100,609705,FENGER HS,Christian Fenger Academy High School,Neighborhood,HS,2,1,5,94.6,82.2,99.9,80.9,74,4,4,5,4,4,WEAK,50.2,57.7,5.8,14.5,15,16.3,2.4 days,2.5 days,2.0 days,86.5,86.3,92.8,89.6,89.2,90.1,7.8,3.1,7.1,92.6,88.7,93.9,87.4,54.3,74.7,51.5,73.5,57.7,77.5,49.5,73.5,703,787,826,968,17,6,24,3.6,8,5.2,40.6,59.8,29,57.9,35,71.9,34.1,71.6,33,48,FENGER HS,"$2,528,118 ",6.87,"$2,365,601 ",0,9695.086066
1.50163E+14,School,Foreman High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 10 11 12,Lowest Performing,20,39,798,95.9,2.9,178,86.5,87,86,79.4,0.4,0.4,76.4,76.5,80.7,81.4,85.1,84.5,21,21,5,78.3,2,65.5,66.3,Foreman High School,Chicago,4,4.2,5.8,5.4,98.9,98.8,5.1,2.7,7.1,4.1,98.9,98.8,609708,FOREMAN HS,Edwin G. Foreman College and Career Academy,Neighborhood,HS,3,1,2,79.6,82.2,74.7,80.9,< 30%,3,3,3,2,2,VERY WEAK,19.9,33.8,5.8,25.7,17.2,16.3,1.7 days,1.6 days,2.0 days,88.9,85,92.8,88.8,87.8,90.1,12.6,3.8,7.1,88.5,88.7,68.7,87.4,59.9,74.7,58,73.5,64.7,77.5,65.2,73.5,733,808,828,968,44,41,29,9.3,18.1,8.5,43.7,59.8,44.6,57.9,67,71.9,64.3,71.6,26,59.9,FOREMAN HS,"$8,290,304 ",2.86,"$8,059,794 ",0,10099.99248
1.50163E+14,School,Back of The Yards IB HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 10 11 12,Commendable,1,2,1064,95.7,0.9,178,93.3,93.2,93.5,26.9,0.3,0.3,98.8,98.7,98.8,98.8,NA,NA,25,25,5,91,2,22.4,22.3,Back of The Yards IB HS,Chicago,22.5,21.2,31.6,31.4,100,100,21.1,23.8,31.6,31.5,100,100,610563,BACK OF THE YARDS HS,Back of the Yards IB HS,Neighborhood,HS,4,3,5,93.4,82.2,96,80.9,< 30%,4,4,4,3,4,WEAK,4.5,4,5.8,64.8,73.2,16.3,2.8 days,2.7 days,2.0 days,96,94.1,92.8,92.2,91.5,90.1,0.1,0.3,7.1,99.6,88.7,100,87.4,91.3,74.7,NA,73.5,NA,NA,NA,73.5,891,921,996,968,86,80,72,61,54.7,47.7,NA,NA,NA,NA,NA,NA,NA,NA,2.2,31.1,BACK OF THE YARDS HS,"$8,532,613 ",3.13,"$8,273,648 ",0,7775.984962
1.50163E+14,School,Gage Park High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 10 11 12,Lowest Performing,1,1,330,99.4,27.6,178,90.6,91.1,90,60.8,0,0,85.5,85.5,87,87.8,86.5,86.1,16,16,5,78.8,6,47.1,47.6,Gage Park High School,Chicago,0,0,0,0,98.4,98.4,0,0,0,0,98.4,98.4,609709,GAGE PARK HS,Gage Park High School,Neighborhood,HS,2,1,5,82.9,82.2,87.9,80.9,< 30%,5,3,3,4,4,VERY WEAK,9.8,9.5,5.8,8.4,8.6,16.3,2.0 days,2.2 days,2.0 days,90.5,91.5,92.8,90,89.6,90.1,1.6,0,7.1,94,88.7,83.1,87.4,58.5,74.7,62.6,73.5,62.8,77.5,68.7,73.5,743,776,830,968,24,22,19,15.3,15.9,7,47.4,59.8,21.8,57.9,66.7,71.9,60,71.6,20.2,36.1,GAGE PARK HS,"$3,291,604 ",8.51,"$3,033,457 ",0,9192.293939
1.50163E+14,School,Harlan Community Academy HS,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 10 11 12,Lowest Performing,17,34,382,96.6,14.9,178,83.2,83.8,82.6,89.6,5,5.2,79.8,81,89,89.7,71.1,73,18,18,5,74.1,4,81.6,83.7,Harlan Community Academy HS,Chicago,4.1,2.9,1.4,1.4,100,100,5.6,2.7,0,2.7,100,100,609710,HARLAN HS,John M Harlan Community Academy High School,Neighborhood,HS,2,1,4,61.7,82.2,88.4,80.9,31,3,3,4,3,3,WEAK,51.4,36.1,5.8,30.7,28.4,16.3,3.3 days,1.7 days,2.0 days,83.4,82.3,92.8,89.3,88.1,90.1,11.3,7.3,7.1,65.6,88.7,58.1,87.4,62.1,74.7,51.7,73.5,57.4,77.5,54.6,73.5,704,770,828,968,12,19,7,7.2,8.6,9.7,38.3,59.8,48,57.9,56.9,71.9,49.6,71.6,22.8,64.6,HARLAN HS,"$4,157,497 ",-3.5,"$4,308,287 ",0,11278.23822
1.50163E+14,School,Harper High School,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,HIGH SCHOOL,9 10 11 12,Lowest Performing,3,6,133,98.5,10.5,178,84.5,85.5,83.5,97.6,0.8,0.8,75.8,78.1,79.5,79.5,85.1,85.1,23,23,3,71.4,2,79.8,79.7,Harper High School,Chicago,2.9,0,0,0,100,100,4.5,0,0,0,100,100,609711,HARPER HS,William Rainey Harper High School,Neighborhood,HS,1,1,4,78.5,82.2,91.7,80.9,< 30%,3,3,3,3,4,VERY WEAK,75.8,107.6,5.8,44.6,59.7,16.3,2.2 days,1.6 days,2.0 days,85.9,81,92.8,89.7,90.2,90.1,6.1,2.4,7.1,85.3,88.7,76.4,87.4,46.9,74.7,53.4,73.5,55.9,77.5,62.1,73.5,704,753,778,968,7,3,23,3.2,0,6.3,41.5,59.8,31.9,57.9,26.1,71.9,32.4,71.6,24.3,79.9,HARPER HS,"$1,910,206 ",-0.26,"$1,915,185 ",0,14399.88722
